,quarter,ticker,industry,sector,debt_to_assets,mkt_cap,stock_price,book_to_market,earnings_yield,mkt_cap_rank
1214,2024Q3,BDX,Medical - Instruments & Supplies,Healthcare,0.3510456306951087,69799655500.0,238.87,0.3742351801237743,-0.0188805626491396,197
1215,2024Q4,BDX,Medical - Instruments & Supplies,Healthcare,0.3431446080673191,65431803570.0,225.84,0.3854894856595678,0.0046493092454835,217
1260,2024Q1,BF-A,Beverages - Wineries & Distilleries,Consumer Defensive,0.4135000607017118,24550472000.0,51.84,0.1318358458344754,0.011574074074074,470
1262,2024Q3,BF-A,Beverages - Wineries & Distilleries,Consumer Defensive,0.3861060329067641,23254872000.0,47.54,0.1542113519352824,0.0086243163651661,479
1264,2024Q1,BF-B,Beverages - Wineries & Distilleries,Consumer Defensive,0.4135000607017118,24550472000.0,50.54,0.1352269538595015,0.0118717847249703,470
1266,2024Q3,BF-B,Beverages - Wineries & Distilleries,Consumer Defensive,0.3861060329067641,23254872000.0,48.64,0.1507238419202987,0.0084292763157894,479
1286,2024Q3,BGNE,Biotechnology,Healthcare,0.1889047241744785,23524282316.0,224.51,0.1460649457408122,-0.0671685002895194,475
1324,2024Q2,BHP,Industrial Materials,Basic Materials,0.1971239327094038,144988864871.0,54.45,0.3240500889238424,0.0503213957759412,89
1325,2024Q4,BHP,Industrial Materials,Basic Materials,0.2005023728678938,61916440000.0,47.88,0.749705494018959,0.0726817042606516,231
1330,2024Q1,BIDU,Internet Content & Information,Communication Services,0.2155718512552538,36900640000.0,105.28,6.720940341414132,0.0706686930091185,368
1331,2024Q2,BIDU,Internet Content & Information,Communication Services,0.1992650297092607,30268000000.0,86.48,8.351030791595083,0.1813135985198889,391
1332,2024Q3,BIDU,Internet Content & Information,Communication Services,0.1853655263637147,36851500000.0,105.29,7.045819030432954,0.2074271060879475,359
1333,2024Q4,BIDU,Internet Content & Information,Communication Services,0.1854317639908364,29245031250.0,84.31,9.014180827726078,0.1707982445735974,418
1334,2024Q1,BIIB,Drug Manufacturers - General,Healthcare,0.2614688568030232,31309476000.0,215.63,0.4858912362506482,0.0125678245142141,402
1335,2024Q2,BIIB,Drug Manufacturers - General,Healthcare,0.248450796706474,33752992000.0,231.82,0.470746415606652,0.0172979035458545,368
1336,2024Q3,BIIB,Drug Manufacturers - General,Healthcare,0.2349045674808923,28242488000.0,193.84,0.5792301301500066,0.0137742468014857,418
1392,2024Q1,BKNG,Travel Services,Consumer Cyclical,0.6295441431044432,124095263280.0,3597.83,-0.0329250548043997,0.0063065792435996,108
1393,2024Q2,BKNG,Travel Services,Consumer Cyclical,0.6074419256508181,134053198500.0,3937.73,-0.0320903343283579,0.0114126666886759,97
1394,2024Q3,BKNG,Travel Services,Consumer Cyclical,0.5976124097505182,139214778120.0,4196.55,-0.0260614035325496,0.0179599909449428,95
1395,2024Q4,BKNG,Travel Services,Consumer Cyclical,0.616464558972138,163187754900.0,4958.26,-0.0245308248983673,0.0065163988980005,81
1396,2024Q1,BKR,Oil & Gas Equipment & Services,Energy,0.1617080854042702,33433000000.0,32.53,0.478978245454943,0.0141407931140485,385
1397,2024Q2,BKR,Oil & Gas Equipment & Services,Energy,0.1608195111305106,35099660000.0,34.38,0.4548151886195158,0.016870273414776,361
1398,2024Q3,BKR,Oil & Gas Equipment & Services,Energy,0.1608313349320543,36005400000.0,35.55,0.4585969578894739,0.0216596343178621,364
1399,2024Q4,BKR,Oil & Gas Equipment & Services,Energy,0.1570002346010479,40732860000.0,40.57,0.4176282293262412,0.0293320187330539,333
1422,2024Q1,BLDR,Construction,Industrials,0.388898345096089,25437260600.0,208.55,0.1948601336419063,0.0101654279549268,457
1424,2024Q3,BLDR,Construction,Industrials,0.4074800050706173,22257842040.0,193.86,0.1974379193193582,0.0126379861755906,488
1466,2024Q1,BMY,Drug Manufacturers - General,Healthcare,0.5797073643606547,109707290000.0,51.1,0.1595158611389761,-0.1152641878669275,121
1467,2024Q2,BMY,Drug Manufacturers - General,Healthcare,0.5705893540139044,84181310000.0,39.58,0.2120813185711939,0.0209701869631126,155
1468,2024Q3,BMY,Drug Manufacturers - General,Healthcare,0.5487349204654639,104981823297.0,50.07,0.1688169107628019,0.011983223487118,131
1469,2024Q4,BMY,Drug Manufacturers - General,Healthcare,0.5528978542811788,114873360000.0,55.34,0.1454763168710021,0.0006414889772316,120
1498,2024Q3,BNTX,Biotechnology,Healthcare,0.0108749322408365,28537791693.0,118.77,0.6728909203423107,0.0069041003620442,414
1499,2024Q4,BNTX,Biotechnology,Healthcare,0.0112828843704088,27379652803.0,113.95,0.7089607797291798,0.0094778411584028,439
1520,2024Q1,BP,Oil & Gas Integrated,Energy,0.2326138653402799,63121110216.0,35.09,1.1869204701987506,0.0384724992875463,220
1521,2024Q2,BP,Oil & Gas Integrated,Energy,0.240259122699207,59437141030.0,34.0,1.1972937531284176,-0.0023058823529411,222
1522,2024Q3,BP,Oil & Gas Integrated,Energy,0.2539338840523826,51232714511.0,29.99,1.3243924847951665,0.0043347782594198,264
1523,2024Q4,BP,Oil & Gas Integrated,Energy,0.2535078022024746,78261006486.0,28.69,0.7799872198544879,-0.0257929592192401,174
1544,2024Q1,BR,Information Technology Services,Technology,0.4201256177422888,24132508000.0,201.63,0.0954529582207218,0.0089768387640728,477
1545,2024Q2,BR,Information Technology Services,Technology,0.3927254197806464,23147500000.0,194.68,0.0947851138147052,0.0141257448119991,474
1546,2024Q3,BR,Information Technology Services,Technology,0.4743361065722019,25180013000.0,213.39,0.0884495594779792,0.003186653545152,453
1547,2024Q4,BR,Information Technology Services,Technology,0.4441474497606493,26475139000.0,225.21,0.0844946272936795,0.0054171662004351,447
1606,2024Q1,BSX,Medical - Devices,Healthcare,0.3000081812975538,100570716000.0,68.49,0.1981193014475506,0.0049642283545043,134
1607,2024Q2,BSX,Medical - Devices,Healthcare,0.2947073407351514,113081484000.0,77.01,0.1798749406914237,0.0028567718478119,118
1608,2024Q3,BSX,Medical - Devices,Healthcare,0.2956562844687221,123236280000.0,83.8,0.1677953227661498,0.0038186157517899,102
1609,2024Q4,BSX,Medical - Devices,Healthcare,0.2829546896814316,131541563999.0,89.32,0.165633984045879,0.0042543663233318,105
1619,2024Q2,BTI,Tobacco,Consumer Defensive,0.3383206695205623,69040461360.0,29.19,0.8304771739050639,0.0685166152792052,192
1620,2024Q4,BTI,Tobacco,Consumer Defensive,0.3107679627246654,80412480000.0,35.67,0.6286042208146593,-0.0176619007569386,171
1638,2024Q2,BUD,Beverages - Alcoholic,Consumer Defensive,0.3711085801063022,116590750000.0,57.46,0.6815279934518039,0.0205360250609119,114
1639,2024Q4,BUD,Beverages - Alcoholic,Consumer Defensive,0.3492549736978372,101048943491.0,49.48,0.7834807174738432,0.0123282134195634,131
1741,2024Q1,CAH,Medical - Distribution,Healthcare,0.127593722755013,27191700000.0,109.94,-0.1222140621408909,0.0096416227032927,440
1742,2024Q2,CAH,Medical - Distribution,Healthcare,0.1217171605239245,23891760000.0,96.59,-0.1363291519503597,0.0099389170721606,463
1743,2024Q3,CAH,Medical - Distribution,Healthcare,0.1199284702385099,26966880000.0,109.14,-0.123562366756633,0.0156679494227597,432
1744,2024Q4,CAH,Medical - Distribution,Healthcare,0.1618229011531424,28739610000.0,117.33,-0.105339675549573,0.0140628995141907,423
1775,2024Q1,CARR,Construction,Industrials,0.4263660867434452,52270496000.0,57.25,0.2245761394893471,0.005240174672489,261
1776,2024Q2,CARR,Construction,Industrials,0.3419503265386899,56923392000.0,62.5,0.2441134751773049,0.04144,227
1777,2024Q3,CARR,Construction,Industrials,0.3203154150394269,71644149000.0,79.75,0.2044365784666073,0.006269592476489,190
1778,2024Q4,CARR,Construction,Industrials,0.306339063711467,60758226000.0,68.04,0.2325039805223055,0.0421810699588477,236
